施設名称,所在地,image_src,details,url,電話番号,開所時間,休業日,ホームページURL,X座標,Y座標
星と森のロマントピア白鳥座,青森県弘前市水木在家字桜井１１３−２,01.jpg,"星と森のロマントピアは、世界自然遺産 白神山地や暗門の滝、岩木山（いわきさん）などの観光スポットにもアクセスしやすい場所にあります。
また弘前市内では、弘前公園で行われる約2600本もの桜を堪能できる「弘前さくらまつり」をはじめ、「弘前ねぷたまつり」、「弘前城菊と紅葉まつり」、「弘前城雪燈籠まつり」など、四季折々のイベントが多数開催されます。
また、ビジネスで訪れた際にもおすすめです。ビジネスホテルでは味わえない旬の食材を活かした料理は、白神山地の水を使用しています。「豊盃（ほうはい）」、「じょっぱり」などの地酒もご用意しています。
仕事を終えたら、開放的でゆっくりくつろげる「星と森のロマントピア」でほっと一息つきませんか？",https://www.romantopia.net,0172-84-2288,,年中無休,http://www.romantopia.net/,63731693,-37614.9201
岩木トレイルセンター,青森県弘前市常盤野字湯の沢１４９−２,02.jpg,雄大な岩木山の景色と高原の澄んだ空気を感じながら、岩木の歴史や文化に触れられる情報館で、周辺の観光スポットや年間イベントの情報を提供する。館内には岩木山エリアの地形模型が展示され、自然歩道の概要をパネルや模型で解説している。敷地内には休憩コーナーや、嶽温泉の足湯があり、旅の疲れを足元から癒すことができる。,https://www.its-mo.com/detail/DIDX_DKE-8321137/,0172-83-2093,９時〜１７時,１１月〜４月中旬,https://www.city.hirosaki.aomori.jp/kanko/shisetsu/iwakisan/tozan/htm_sanpokan/default.htm,69853.7325,-47609.7882
アソベの森いわき荘,青森県弘前市百沢字寺沢２８−２９,03.jpg,"「アソベの森」、古くからそう呼ばれてきた、神が宿る山・岩木山。
いにしえより津軽の文化を育んできた
この山に、見守られるように、抱かれるように佇む宿・いわき荘。
岩木山を望むお部屋でゆっくりと寛いで、
しずかに流れる時間にやすらいで、
青森の旬の幸を集めたお料理を味わって、
湯と地元の人々のぬくもりに癒やされて、
ゆたかな自然と文化にふれて…。
そう、思いおもいに想い出をつづりながら、すべてを心から楽しむ。
それが、元氣物語の宿・いわき荘の楽しみ方です。",http://www.iwakisou.or.jp/,0172-83-2215,,年中無休,http://www.iwakisou.or.jp/,69016.6715,-42252194
旧東奥義塾外人教師館,青森県弘前市大字下白銀町２−１,04.jpg,"東奥義塾は、明治5年に県内で最初に開校した私学校で、この外人宣教師館は、同校に招かれた外人宣教師のために、煙突やベイウィンドウが味わい深く、内部は当時の生活を再現しています。
明治33年（1900）にアメリカのメソジスト・ミッションボードで設計されたのを堀江佐吉らが明治34年に建てたものです。現在、1階では喫茶店が営業しており、窓から追手門広場内にあるミニチュア建造物を見ながらコーヒーなどを楽しむことができます。",https://www.aptinet.jp/Detail_display_00000227.html?id=00000227&t=0,0172-37-5501,９時〜１８時,年末年始,https://www.city.hirosaki.aomori.jp/gaiyo/shisetsu/page/22.html,66989196,-31082.4242
山車展示館,青森県弘前市大字下白銀町２−１,05.jpg,"【弘前市立観光館】
弘前市と周辺地域の観光拠点として、さまざまな情報を提供しています。
弘前ねぷたが飾られた１階ではお土産コーナー「さくらはうす」や「食事処追手門」もあり、2階の津軽塗コーナーでは下地から完成まで48工程をわかりやすく展示しています。

見学時間：9:00〜18:00（まつり期間中は延長あり） 
休館日：無休
入館料：無料 

【山車展示館】
藩政時代からの弘前八幡宮祭礼の山車（和徳町の米山、土手町の猩々山(しょうじょうやま)など）現存する7つの山車と津軽剛情張大太鼓を保存展示しています。 
見学時間：9:00〜18:00 
休館日：無休 
入館料：無料",https://www.aptinet.jp/Detail_display_00000215.html,0172-37-5501,９時〜１８時,年末年始,https://www.city.hirosaki.aomori.jp/gaiyo/shisetsu/page/81.html,67015.36825,-31088.28506
弘前市立観光館,青森県弘前市大字下白銀町２−１,06.jpg,"弘前市立観光館は、弘前公園そばの追手門広場の一角にあります。

当施設では、観光コンシェルジュによる観光案内をはじめ、観光の目的に応じて様々なガイドマップを提供しています。

市内周遊観光に便利な自転車のレンタルサービスや、冬期間には長靴の無料貸出も行っておりますので、弘前市と周辺地域の観光拠点としてご利用いただけます。館内にはレストランもございますので、弘前散策の休憩にもご利用ください。

 

弘前の夏の風物詩『ねぷたまつり』の山車が飾られた１階には物産販売コーナーがあり、弘前ならではのお土産品をたくさん揃えています。2階の展示スペースには津軽塗コーナーや民工芸品コーナーを設けており、津軽の風土が生んだ伝統工芸品を一堂に展示しています。

また、館内にある多目的ホールは、観光・物産を目的とした有料貸会場となっておりますので、講演会、研修会、会議など多目的に利用することができます。

 

皆さんのお越しを心からお待ちしております。",http://www.city.hirosaki.aomori.jp/gaiyou/shisetsu/2015-0223-1057-41.html,0172-37-5501,９時〜１８時,年末年始,https://www.city.hirosaki.aomori.jp/gaiyo/shisetsu/page/52.html,67032.9963,-31154.2272
瑞楽園,青森県弘前市大字宮舘字宮舘沢２６−２,07.jpg,"大石武学流枯山水式庭園「瑞楽園」とは、津軽藩政時代に高杉組の大庄屋を代々つとめていた当宮舘地区の豪農對馬家の書院庭園として、二度にわたる造庭工事のすえ完成された庭園です。
この庭は、明治23年春から明治38年秋までの15年の長い歳月をかけ、当時の武学流造園の庭師では第一人者といわれた高橋亭山が造庭に着手したのがはじまりで、これを昭和3年から亭山門人の池田亭月と外崎亭陽の二人が増改庭し、昭和11年に完成しました。
書院建物前を広くとり、飛びはねなければ渡って歩けないような二筋の大きな飛石を配し、庭園奥に枯滝や枯池を設けて石橋を架け、右手背後に低い築山を、左手奥に小高い築山を築き随所に巨石を組み、燈籠をたてるなど、当地方に伝わる大石武学流庭園の造庭技法が良く残されている庭園です。
当園には、庭園右手奥の稲荷神社鳥居前に庭園由来を記した石碑や、亭山・亭月・亭陽が各々増改庭する際に描いた庭図も残されています。",http://zuirakuen.com/,0172-96-2744,１０時〜１６時,（※１）,https://www.city.hirosaki.aomori.jp/gaiyo/shisetsu/page/58.html,72201.2865,-35489.3497
太宰治まなびの家（旧藤田家住宅）,青森県弘前市大字御幸町９−３５,08.jpg,"太宰治（津島修治）が、昭和2年4月から5年3月までの多感な官立高校時代を過ごした家です。藤田家は津島家の親戚筋にあたり、修治が暮らした部屋や使用した机などがそのまま残されています。また、周囲には旧弘前偕行社（重要文化財）・旧制弘前高等学校外国人教師館（国登録有形文化財）などの太宰下宿時代の洋館が点在しています。
なお、旧藤田家住宅は、市指定有形文化財に指定されています。",http://www.city.hirosaki.aomori.jp/gaiyou/shisetsu/manabinoie.html,0172-39-1134,１０時〜１６時,年末年始（12月29日〜1月3日）,http://www.city.hirosaki.aomori.jp/gaiyo/shisetsu/page/140.html,65709.36911,-30050.87672
旧弘前市立図書館,青森県弘前市大字下白銀町２−１,09.jpg,明治39年日露戦勝記念として建てられたもので、昭和6年までは市立図書館として利用されていました。八角形の双塔を持つルネッサンス様式の木造モルタル3階建てです。,https://www.hirosaki-kanko.or.jp/web/details.html?id=API00100000023,0172-82-1642（文化財課）,９時〜１７時,年末年始（12月29日〜1月3日）,http://www.city.hirosaki.aomori.jp/gaiyo/shisetsu/page/21.html,66987796,-31098325
旧笹森家住宅,青森県弘前市大字若党町７２,10.jpg,"この建物は、建築当初は伝建地区内の東部にありましたが、平成7年に前所有者から市へ主屋と門が寄贈されました。市では部材を解体保存し、平成24年に現在地に移築復元しましたものです。

宝暦６年（１７５６）の文献に記載があることから、弘前市の伝建地区内に現存する最古の武家住宅と確認されました。主要部分の間取りが建築当初から変わらず、建築当初の部材も多く残っています。",https://www.aptinet.jp/Detail_display_00004520.html?id=00004520&t=0,0172-32-5679,１０時〜１６時（※１）,（※２）,http://www.city.hirosaki.aomori.jp/gaiyo/bunkazai/shi/shi108.html,68160.39121,-31088.11924
旧岩田家住宅,青森県弘前市大字若党町３１,11.jpg,"この建物は、仲町伝統的建造物群保存地区の東端にあり、諸資料からみて寛政時代末から文化年間（1800年前後）に建てられたものと考えられる。
数度の改造を受けているが、主要構造部材や屋根などはほぼ建築当初のままで今日に至った。岩田氏から門、土地と共に弘前市に寄贈され、調査に基づいて第一次改造時の姿に復元されている。
弘前城下の中級武士の住宅で、また敷地利用も旧態を保ち、当時の生活を知る貴重な遺構である。",http://www.city.hirosaki.aomori.jp/gaiyou/bunkazai/ken/ken14.html,0172-35-9444,１０時〜１６時（※１）,（※２）,http://www.city.hirosaki.aomori.jp/gaiyo/shisetsu/page/139.html,68073.4918,-30659.2316
