

名称,所在地,ホームページURL,動画URL,X座標,Y座標




旧制弘前高等学校外国人教師館,青森県弘前市文京町1,https://www.city.hirosaki.aomori.jp/gyosei/keikaku/keikan/omomuki/tatemono.html#41,https://www.youtube.com/watch?v=R6MK7bFm74U&feature=youtu.be,65622.49493,-30435.58107
弘前銘醸煉瓦倉庫,青森県弘前市富田三丁目7-1,https://www.city.hirosaki.aomori.jp/gyosei/keikaku/keikan/omomuki/tatemono.html#40,https://www.youtube.com/watch?v=R6MK7bFm74U&feature=youtu.be,65688.39598,-30485.37658
有限会社農高木靜一商店,青森県弘前市松森町158,https://www.city.hirosaki.aomori.jp/gyosei/keikaku/keikan/omomuki/tatemono.html#39,https://www.youtube.com/watch?v=R6MK7bFm74U&feature=youtu.be,65565.8194,-29624.5175
千葉家住宅,青森県弘前市楮町1-5,https://www.city.hirosaki.aomori.jp/gyosei/keikaku/keikan/omomuki/tatemono.html#38,https://www.youtube.com/watch?v=R6MK7bFm74U&feature=youtu.be,66016.7452,-29677.87318
黒沼質店,青森県弘前市松森町34,https://www.city.hirosaki.aomori.jp/gyosei/keikaku/keikan/omomuki/tatemono.html#37,https://www.youtube.com/watch?v=R6MK7bFm74U&feature=youtu.be,66024.30383,-29970.88018
よしや質店,青森県弘前市松森町29,https://www.city.hirosaki.aomori.jp/gyosei/keikaku/keikan/omomuki/tatemono.html#36,https://www.youtube.com/watch?v=R6MK7bFm74U&feature=youtu.be,66048.3899,-29982.5811
つぼた文庫,青森県弘前市本町34,http://www.city.hirosaki.aomori.jp/gyosei/keikaku/keikan/omomuki/tatemono.html#35,https://www.youtube.com/watch?v=vsbtawJdlNM&feature=youtu.be,66837.3959,-31195.525
大阪屋,青森県弘前市本町20,https://www.city.hirosaki.aomori.jp/gyosei/keikaku/keikan/omomuki/tatemono.html#34,https://www.youtube.com/watch?v=vsbtawJdlNM&feature=youtu.be,66771.896,-31283.8264
木村家住宅,青森県弘前市在府町1,https://www.city.hirosaki.aomori.jp/gyosei/keikaku/keikan/omomuki/tatemono.html#33,https://www.youtube.com/watch?v=vsbtawJdlNM&feature=youtu.be,66676.21231,-31295.71582
旧町田家住宅,青森県弘前市新寺町129,http://www.city.hirosaki.aomori.jp/gyosei/keikaku/keikan/omomuki/tatemono.html#32,https://www.youtube.com/watch?v=vsbtawJdlNM&feature=youtu.be,66147.43449,-31596.61384
加藤味噌醤油醸造元,青森県弘前市新寺町153,https://www.city.hirosaki.aomori.jp/gyosei/keikaku/keikan/omomuki/tatemono.html#31,https://www.youtube.com/watch?v=vsbtawJdlNM&feature=youtu.be,66150.9947,-31654.9266
田澤刃物製作所（清水一國）,青森県弘前市茂森新町二丁目3-11,http://www.city.hirosaki.aomori.jp/gyosei/keikaku/keikan/omomuki/tatemono.html#30,https://www.youtube.com/watch?v=vsbtawJdlNM&feature=youtu.be,66240.21887,-32068.90563
下山家住宅,青森県弘前市茂森新町三丁目1-3,https://www.city.hirosaki.aomori.jp/gyosei/keikaku/keikan/omomuki/tatemono.html#29,https://www.youtube.com/watch?v=vsbtawJdlNM&feature=youtu.be,66137.49384,-32299.4925
